Chromosome,Start,End,Strand,P-RING1B,KO-RING1B,log2('P-RING1B' divided by 'KO-RING1B'),P-BMI,KO-BMI,log2('P-BMI' divided by 'KO-BMI'),P-SUZ12,KO-SUZ12,log2('P-SUZ12' divided by 'KO-SUZ12'),KO-MEL18,P-MEL18,log2('P-MEL18' divided by 'KO-MEL18'),P-H3K27Me3,KO-H3K27Me3,log2('P-H3K27Me3' divided by 'KO-H3K27Me3'),P-CBX4,KO-CBX4,log2('P-CBX4' divided by 'KO-CBX4'),P-CBX8,KO-CBX8,log2('P-CBX8' divided by 'KO-CBX8'),P-RYBP,KO-RYBP,log2('P-RYBP' divided by 'KO-RYBP'),Gene Name,Nearest Ensembl,,
chr6,108073738,108195570,+,36.33,9.34,1.96,48.37,13.91,1.80,23.11,5.32,2.12,22.91,27.63,0.27,479.91,1231.94,-1.36,36.31,7.06,2.36,38.33,34.26,0.16,3.41,2.10,0.70,OSTM1-AS1,ENSG00000225174,,
chr1,234738173,234757785,+,30.05,5.23,2.52,39.60,6.74,2.56,21.43,3.28,2.71,11.10,23.01,1.05,479.32,615.06,-0.36,34.93,5.75,2.60,33.66,15.51,1.12,4.27,4.29,-0.01,PP2672,ENSG00000279261,,
chr4,13525285,13549485,+,17.69,3.60,2.30,19.01,5.07,1.91,14.31,6.70,1.09,7.55,10.60,0.49,477.44,941.30,-0.98,15.62,2.77,2.50,17.23,16.69,0.05,2.37,1.81,0.39,LINC01097,ENSG00000281202,,
chr1,155069109,155091560,+,12.44,5.52,1.17,12.52,4.71,1.41,49.39,7.85,2.65,6.77,7.41,0.13,474.91,1070.64,-1.17,18.68,4.11,2.19,7.71,7.82,-0.02,7.17,4.67,0.62,EFNA3,ENSG00000143590,,
chr1,1234727,1248606,+,3.49,1.43,1.29,3.28,1.91,0.78,30.71,4.95,2.63,2.87,1.82,-0.66,470.34,1264.96,-1.43,6.18,1.74,1.83,1.82,2.48,-0.45,2.77,1.44,0.95,C1QTNF12,ENSG00000184163,,
chr10,117151052,117173317,+,31.32,10.95,1.52,39.50,14.74,1.42,17.98,6.46,1.48,21.81,23.63,0.12,463.72,1092.42,-1.24,32.36,8.43,1.94,35.40,32.68,0.12,3.80,2.46,0.63,MIR3663,ENSG00000266782,,
chr9,136725949,136755689,+,4.54,1.25,1.86,4.06,1.67,1.28,22.13,1.34,4.05,1.98,2.44,0.30,461.74,612.26,-0.41,7.08,1.00,2.83,2.44,2.58,-0.08,3.50,1.13,1.63,LCN10,ENSG00000187922,,
chr5,77621683,77649385,+,34.21,13.01,1.40,39.65,17.30,1.20,21.12,8.92,1.24,28.76,24.39,-0.24,457.03,1042.95,-1.19,34.91,10.06,1.80,35.18,53.90,-0.62,3.98,3.20,0.32,OTP,ENSG00000171540,,
chr13,99955193,100005334,+,39.27,13.02,1.59,39.92,14.90,1.42,23.01,8.04,1.52,24.38,25.09,0.04,453.87,745.34,-0.72,37.85,9.52,1.99,34.66,31.66,0.13,5.80,3.63,0.68,ZIC2,ENSG00000043355,,
chr7,20772752,20801635,+,43.75,11.87,1.88,55.59,16.42,1.76,20.77,6.37,1.71,29.11,35.16,0.27,453.59,838.22,-0.89,44.23,9.57,2.21,46.67,44.18,0.08,3.31,3.09,0.10,SP8,ENSG00000164651,,
chr22,19747336,19774972,+,5.30,1.51,1.81,5.29,1.60,1.73,21.83,2.82,2.95,1.93,2.54,0.39,452.92,450.52,0.01,7.78,1.75,2.15,3.47,3.69,-0.09,1.80,1.62,0.15,TBX1,ENSG00000184058,,
chr12,132590317,132617876,+,10.44,2.95,1.82,10.50,3.19,1.72,28.71,3.54,3.02,4.97,5.85,0.23,451.16,633.68,-0.49,14.39,2.66,2.44,7.95,5.09,0.64,4.33,2.88,0.59,LRCOL1,ENSG00000204583,,
chr1,200027099,200047149,+,17.14,8.92,0.94,17.42,10.88,0.68,11.70,14.35,-0.29,17.29,10.11,-0.77,450.78,1963.78,-2.12,13.42,5.31,1.34,13.31,29.90,-1.17,1.91,2.53,-0.40,NR5A2,ENSG00000116833,,
chr9,77008589,77027364,+,18.91,12.28,0.62,19.96,13.44,0.57,14.90,8.18,0.87,21.87,11.70,-0.90,445.72,990.77,-1.15,18.03,8.68,1.05,18.39,34.35,-0.90,2.10,2.82,-0.42,FOXB2,ENSG00000204612,,
chr1,47223220,47239787,+,19.67,18.83,0.06,22.81,26.48,-0.22,14.95,10.51,0.51,36.73,13.28,-1.47,442.14,1478.27,-1.74,18.24,14.31,0.35,20.78,47.94,-1.21,2.04,1.83,0.16,TAL1,ENSG00000162367,,
chr16,1255273,1307369,+,4.30,1.21,1.82,4.62,1.64,1.49,17.14,3.70,2.21,2.30,2.43,0.08,440.58,1311.81,-1.57,6.19,1.04,2.57,2.42,2.97,-0.30,2.58,1.16,1.16,TPSD1,ENSG00000095917,,
chr7,27132258,27218927,+,19.21,7.89,1.28,20.99,9.23,1.18,13.83,13.11,0.08,15.54,13.31,-0.22,440.22,1189.15,-1.43,16.31,5.72,1.51,15.21,22.38,-0.56,2.78,1.75,0.67,HOXA10,ENSG00000253293,,
chr6,125733191,125758136,+,65.69,6.89,3.25,85.63,9.41,3.19,33.66,2.69,3.64,17.61,55.91,1.67,438.44,332.85,0.40,79.23,8.76,3.18,80.20,24.57,1.71,7.21,4.67,0.63,HEY2,ENSG00000135547,,
chr9,123993694,124025685,+,29.32,4.79,2.62,32.07,5.20,2.63,24.34,3.54,2.78,7.85,19.57,1.32,436.82,504.33,-0.21,32.16,4.15,2.95,27.21,13.87,0.97,5.64,3.47,0.70,LOC100505588,ENSG00000236668,,
chr10,100726467,100752327,+,5.60,3.59,0.64,6.36,4.84,0.40,17.31,13.11,0.40,5.30,2.95,-0.85,431.00,1333.18,-1.63,5.02,2.15,1.22,6.62,11.26,-0.77,1.45,1.54,-0.08,PAX2,ENSG00000075891,,
chr6,149984578,149999339,+,12.92,4.72,1.45,16.17,7.75,1.06,12.62,6.00,1.07,12.77,8.32,-0.62,427.27,1306.61,-1.61,13.00,3.93,1.73,12.66,15.84,-0.32,1.71,1.42,0.27,RAET1K,ENSG00000218358,,
chr9,124483659,124510733,+,4.17,1.11,1.90,4.54,1.66,1.45,13.63,2.73,2.32,2.31,2.08,-0.16,426.72,982.71,-1.20,5.37,1.01,2.41,2.72,3.10,-0.19,1.20,0.83,0.52,NR5A1,ENSG00000136931,,
chr22,41907567,41922135,+,7.91,2.13,1.90,6.81,2.51,1.44,29.42,4.74,2.63,2.79,3.41,0.29,423.27,939.68,-1.15,10.16,1.71,2.57,4.36,3.99,0.13,5.39,2.64,1.03,SHISA8,ENSG00000234965,,
chr22,43098860,43120280,+,10.04,2.12,2.24,12.86,3.00,2.10,27.52,3.83,2.85,4.15,6.31,0.60,422.54,1115.64,-1.40,14.35,1.63,3.14,8.66,5.77,0.58,2.42,1.36,0.83,BIK,ENSG00000100290,,
chr1,92476332,92493297,+,21.96,10.58,1.05,24.38,12.04,1.02,18.07,8.31,1.12,17.34,13.22,-0.39,415.90,1100.25,-1.40,20.19,6.99,1.53,23.15,29.89,-0.37,2.83,3.01,-0.09,GFI1,ENSG00000162676,,
chr17,2011437,2030955,+,5.71,2.31,1.31,5.22,2.70,0.95,22.28,3.42,2.70,3.32,3.69,0.15,411.54,1199.12,-1.54,7.53,1.30,2.54,4.81,4.89,-0.03,3.60,2.44,0.56,LOC105371485,ENSG00000228133,,
chr1,212687872,212708599,+,19.01,6.13,1.63,22.77,7.57,1.59,23.62,4.25,2.48,11.30,11.48,0.02,409.61,1242.81,-1.60,19.21,4.38,2.13,17.34,15.96,0.12,3.41,3.54,-0.05,BATF3,ENSG00000123685,,
chrX,25003548,25026984,+,23.98,9.29,1.37,27.00,10.50,1.36,17.21,7.13,1.27,16.76,16.09,-0.06,407.78,881.06,-1.11,25.03,8.40,1.58,22.20,26.73,-0.27,3.85,3.27,0.23,ARX,ENSG00000004848,,
chr15,63029887,63048918,+,10.42,2.85,1.87,12.89,3.15,2.03,19.05,2.49,2.94,5.41,6.35,0.23,407.72,660.06,-0.70,11.82,2.68,2.14,10.83,8.89,0.28,2.41,1.76,0.46,TPM1,ENSG00000140416,,
chr10,101766586,101781509,+,7.17,2.14,1.75,7.26,3.17,1.20,18.82,4.95,1.93,4.66,3.92,-0.25,406.06,1095.19,-1.43,7.88,1.78,2.15,5.47,5.46,0.00,2.18,2.68,-0.30,FGF8,ENSG00000107831,,
chr12,109301928,109320006,+,21.90,6.17,1.83,30.49,10.64,1.52,18.07,4.42,2.03,15.63,16.46,0.07,404.42,1290.56,-1.67,23.38,5.09,2.20,23.36,18.91,0.30,2.76,1.58,0.81,FOXN4,ENSG00000139445,,
chr3,147352755,147421094,+,30.53,15.37,0.99,36.74,20.67,0.83,12.70,5.71,1.15,36.83,24.72,-0.58,404.01,909.07,-1.17,27.33,12.51,1.13,28.31,48.22,-0.77,2.69,5.84,-1.12,ZIC4,ENSG00000174963,,
chr22,38438259,38476421,+,6.93,3.30,1.07,6.93,3.31,1.06,26.94,4.25,2.67,5.10,4.62,-0.14,401.15,952.50,-1.25,8.87,2.50,1.83,4.63,5.68,-0.30,3.73,2.25,0.73,KCNJ4,ENSG00000168135,,
chr6,158658936,158673348,+,20.67,3.44,2.59,28.80,6.90,2.06,14.08,2.63,2.42,8.84,16.12,0.87,400.21,990.47,-1.31,20.95,2.89,2.86,23.02,11.67,0.98,2.67,1.24,1.11,SYTL3,ENSG00000164674,,
chr1,6400901,6460682,+,3.86,2.00,0.95,4.63,1.74,1.41,18.68,2.80,2.74,3.09,2.06,-0.58,398.20,1192.05,-1.58,4.80,1.66,1.53,2.51,3.07,-0.29,2.25,1.78,0.34,MIR4252,ENSG00000265392,,
chr14,37575955,37602356,+,40.31,17.55,1.20,50.76,23.57,1.11,17.52,6.48,1.43,41.16,31.01,-0.41,396.68,844.60,-1.09,42.43,12.76,1.73,41.33,57.82,-0.48,2.90,2.80,0.05,FOXA1,ENSG00000129514,,
chr20,62631756,62644904,+,6.61,1.93,1.78,7.78,3.09,1.33,18.78,3.35,2.49,3.06,3.83,0.33,396.27,949.76,-1.26,8.23,1.44,2.51,4.84,4.12,0.23,3.62,1.75,1.05,SLCO4A1,ENSG00000101187,,
chr5,42982982,43008856,+,62.71,15.50,2.02,80.18,20.82,1.94,26.28,5.60,2.23,36.65,48.50,0.40,394.14,629.16,-0.67,66.02,12.55,2.39,67.72,47.26,0.52,5.50,3.98,0.47,FLJ32255,,,
chr2,199462297,199478768,+,46.54,10.01,2.22,53.38,12.43,2.10,16.38,6.12,1.42,19.05,34.41,0.85,390.56,879.44,-1.17,48.27,7.00,2.78,46.67,28.47,0.71,3.95,2.68,0.56,SATB2,ENSG00000119042,,
chr14,36098873,36119223,+,47.82,23.05,1.05,84.41,51.65,0.71,37.86,30.34,0.32,85.21,46.34,-0.88,388.92,2647.09,-2.77,59.55,34.66,0.78,54.01,94.42,-0.81,8.50,20.96,-1.30,LINC00609,ENSG00000257585,,
chr20,63816396,63835800,+,11.69,3.27,1.84,17.00,4.90,1.80,25.54,5.63,2.18,6.97,8.02,0.20,384.77,1183.89,-1.62,17.72,3.12,2.51,12.22,11.97,0.03,2.89,1.98,0.55,ZBTB46-AS1,,,
chr16,3027734,3057975,+,7.40,2.82,1.39,8.69,4.17,1.06,18.02,6.59,1.45,5.67,4.46,-0.34,383.07,1287.21,-1.75,8.32,1.95,2.09,6.18,6.64,-0.10,1.89,1.52,0.32,MMP25,ENSG00000008516,,
chr17,47841048,47861306,+,7.33,6.48,0.18,8.92,9.13,-0.03,15.68,8.87,0.82,11.76,5.01,-1.23,382.31,1671.26,-2.13,7.93,4.41,0.85,7.11,14.93,-1.07,1.77,1.28,0.47,SP6,ENSG00000189120,,
chr12,26107394,26133795,+,36.26,5.26,2.79,47.27,7.36,2.68,30.31,4.07,2.90,11.82,28.57,1.27,382.19,402.79,-0.08,43.81,4.87,3.17,42.16,18.13,1.22,5.07,3.59,0.50,BHLHE41,ENSG00000123095,,
chr14,60633872,60660701,+,25.09,8.15,1.62,27.98,9.16,1.61,13.11,5.26,1.32,18.03,17.99,0.00,378.95,473.83,-0.32,23.00,6.45,1.83,26.23,27.37,-0.06,2.79,2.23,0.32,SIX1,ENSG00000126778,,
chr5,42941162,42965513,+,37.90,10.77,1.82,44.14,13.98,1.66,16.85,5.52,1.61,20.31,25.56,0.33,378.48,624.08,-0.72,38.21,9.35,2.03,37.33,33.42,0.16,3.28,4.82,-0.55,FLJ32255,,,
chr5,173226365,173249142,+,10.97,6.21,0.82,11.26,8.39,0.42,14.57,11.90,0.29,13.38,6.44,-1.06,378.48,1331.95,-1.82,9.95,4.57,1.12,11.73,25.21,-1.10,2.20,2.20,0.00,NKX2-5,ENSG00000183072,,
chr12,48960497,48998329,+,6.12,3.18,0.94,6.16,3.21,0.94,22.56,6.38,1.82,4.28,2.93,-0.55,377.15,1364.71,-1.86,7.81,2.68,1.55,4.40,6.54,-0.57,2.55,3.00,-0.23,WNT1,ENSG00000125084,,
chr17,82291513,82317731,+,5.52,1.92,1.52,5.66,2.87,0.98,17.91,2.78,2.69,3.74,3.55,-0.07,374.39,952.96,-1.35,6.49,1.82,1.84,3.90,4.10,-0.07,2.18,1.72,0.34,LINC01970,ENSG00000265692,,
chr12,27963506,27980175,+,24.85,3.72,2.74,32.10,6.17,2.38,19.02,5.20,1.87,9.01,18.16,1.01,372.82,954.78,-1.36,25.60,3.59,2.83,27.03,18.68,0.53,3.18,2.07,0.61,PTHLH,ENSG00000087494,,
chr16,85427085,85501422,+,4.33,2.64,0.71,4.62,3.31,0.48,18.74,3.76,2.32,5.12,2.41,-1.09,371.34,827.49,-1.16,5.21,2.67,0.96,2.73,4.53,-0.73,2.37,3.12,-0.39,GSE1,ENSG00000131149,,
