ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000042,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000043,Hs 895.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000044,MDA-MB-134-VI,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-000045,MV4-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000046,ACHN,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,PRCC
ACH-000047,GCIY,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000048,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,EOV
ACH-000049,HEK TE,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,
ACH-000050,NCI-H929,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000051,TE 617.T,Soft Tissue,Rhabdomyosarcoma,Rhabdomyosarcoma,RMS
ACH-000052,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000053,KARPAS-299,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000054,HT-1080,Soft Tissue,Fibrosarcoma,Fibrosarcoma,FIBS
ACH-000055,D283 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-000056,DOHH-2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000057,OPM-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000058,ML-1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,THFO
ACH-000059,SUP-B15,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,BLLBCRABL1
ACH-000060,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000061,HH,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN
ACH-000062,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000063,Hs 616.T,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000064,SALE,Lung,Non-Cancerous,Immortalized Lung Cells,
ACH-000065,OCI-AML5,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000066,HCC4006,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000067,Hs 683,CNS/Brain,Diffuse Glioma,Oligodendroglioma,ODG
ACH-000068,REC-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000069,Hs 611.T,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HL
ACH-000070,697,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000071,Hs 706.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000072,MEG-01,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000073,GRANTA-519,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000074,KU812,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000075,U-87 MG,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000076,NCO2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000077,MJ,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN
ACH-000078,MHH-NB-11,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000079,TE 125.T,Fibroblast,Non-Cancerous,"Fibroblast, Soft Tissue",
ACH-000080,BDCM,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000081,GDM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000082,"G-292, clone A141B1",Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000083,Hs 281.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000084,MUTZ-3,Myeloid,Acute Myeloid Leukemia,"AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",AMLGATA2MECOM
ACH-000085,T3M-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000086,ACC-MESO-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000087,SK-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000088,Hs 172.T,Fibroblast,Non-Cancerous,"Fibroblast, Urinary Tract",
ACH-000089,NCI-H684,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000090,PC-3,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,PRAD
ACH-000091,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-000092,NCI-H2452,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",PLBMESO
ACH-000093,Panc 05.04,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000094,HPAF-II,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000095,D341 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-000096,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-000097,ZR-75-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000098,GAMG,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000099,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000100,RH-41,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS
ACH-000101,KE-37,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000102,GMS-10,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000103,Caov-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000104,Loucy,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000105,ALL-SIL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000106,JVM-2,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000107,Capan-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000108,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,PAASC
ACH-000109,NCI-H3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000110,NCC-StC-K140,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000111,HCC1187,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000112,SIG-M5,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000113,OCI-AML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000114,SU.86.86,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000115,VCaP,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,PRAD
ACH-000116,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000117,EFM-192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000118,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000119,Hs 863.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000120,CHP-212,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000121,NCI-H2405,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000122,SUP-T11,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000123,COV434,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,SCCO
ACH-000124,OCI-LY-19,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000125,TO 175.T,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000126,KG-1-C,CNS/Brain,Diffuse Glioma,Oligodendroglioma,ODG
ACH-000127,SLR 20,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000128,LN-319,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000129,NCI-H1341,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000130,NALM-19,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000131,Hs 229.T,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000132,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000133,Hs 729,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000134,Hs 274.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000135,Hs 940.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000136,CHP-126,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000137,8-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000138,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000139,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000140,Pfeiffer,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000141,SNU-308,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",GBAD
ACH-000142,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000143,HCC2429,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000144,RERF-GC-1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000145,SK-LMS-1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS
ACH-000146,THP-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000147,T-47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000148,Hs 578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCNOS
ACH-000149,SK-N-SH,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000150,HCC2935,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000151,JM1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000152,M059K,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000153,NCI-H2052,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",PLSMESO
ACH-000154,Hs 888.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000155,SW 1990,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000156,MHH-CALL-4,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000157,A4/Fuk,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000158,OCI-LY3,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,ABC
ACH-000159,OS-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000160,BT-12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT
ACH-000161,COR-L105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000162,GA-10,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000163,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,HNSC
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000165,Hs 751.T,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000166,Kasumi-6,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000167,KE-97,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000168,NOMO-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000169,RD,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS
ACH-000170,PrEC LH,Prostate,Non-Cancerous,"Immortalized Epithelial Cells, Prostate",
ACH-000171,VMRC-RCZ,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000172,TM-87,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-000173,JHUEM-3,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC
ACH-000174,CAL-62,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-000175,TE159T,Fibroblast,Non-Cancerous,"Fibroblast, Soft Tissue",
ACH-000176,LOU-NH91,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000177,NCI-H660,Prostate,Prostate Small Cell Carcinoma,Prostate Small Cell Carcinoma,PRSCC
ACH-000178,Hs 766T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000179,NCI-H1618,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000180,Hs 839.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000181,SCC-9,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000182,SNU-869,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,AMPCA
ACH-000183,L-363,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000184,Hs  343.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000185,Hs 737.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000186,NCI-H2444,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000187,COR-L311,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000188,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000189,RCC10RGB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000190,HD-MY-Z,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000191,BHT-101,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-000192,MFE-280,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC
ACH-000193,KARPAS-620,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000194,Hs 934.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000195,Set-2,Myeloid,Acute Myeloid Leukemia,Acute Megakaryoblastic Leukemia,AMKL
ACH-000196,HCC1599,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000197,TALL-1,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000198,EOL-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Eosinophilic Leukemia, NOS",CELNOS
ACH-000199,Hs 255.T,Fibroblast,Non-Cancerous,"Fibroblast, Colorectal",
ACH-000200,NMC-G1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000201,A-204,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-000202,COLO-320,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000203,NH-6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000204,LP-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000205,PK-59,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000206,C8166,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000207,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,OPHSC
ACH-000208,U-178,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000209,SNU-1079,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,IHCH
ACH-000210,CADO-ES1,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000211,Daoy,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-000212,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000213,HUP-T4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000214,Hs 675.T,Fibroblast,Non-Cancerous,"Fibroblast, Colorectal",
ACH-000215,LN382,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000216,JH-EsoAd1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESCA
ACH-000217,JHH-6,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000218,PL-21,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000219,A-375,Skin,Melanoma,Melanoma,MEL
ACH-000220,Mino,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000221,SNU-398,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000222,AsPC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000224,Hs 819.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000225,ECC12,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Small Cell Carcinoma of the Stomach,STSC
ACH-000226,SUP-M2,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000227,KP-N-YN,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000228,BICR 31,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000229,Hs 822.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000230,Hs 742.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000231,KALS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000232,U-251 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000233,DEL,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000234,Caki-2,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,PRCC
ACH-000235,Panc 04.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000236,SW1417,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000237,JHOM-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MOV
ACH-000238,SCC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000239,HuG1-N,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD
ACH-000240,Hs 600.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000241,JK-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000242,RT4,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000243,DAN-G,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000244,DK-MG,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000245,BL-41,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000246,SLR 23,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000247,OCUM-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000248,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000249,CL-11,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000250,KMRC-20,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000251,NCI-H2887,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000252,LS1034,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000253,COLO 201,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000254,SCC-15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000255,LMSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000256,COV318,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000257,COR-L279,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000258,Du4475,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000259,KELLY,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
